time	cell.id	cell.type	neighbor.id	neighbor.type	length
0	1	0	2	0	0.0555556
0	1	0	3	0	0.0555556
0	1	0	4	0	0.0555556
0	1	0	5	0	0.0555556
0	1	0	6	0	0.0555556
0	1	0	9	0	0.0555556
0	1	0	10	1	0.0555556
0	2	0	1	0	0.0555556
0	2	0	4	0	0.0555556
0	2	0	5	0	0.0555556
0	2	0	6	0	0.0555556
0	2	0	8	0	0.0555556
0	2	0	9	0	0.0555556
0	3	0	1	0	0.0555556
0	3	0	5	0	0.0555556
0	3	0	10	1	0.0555556
0	4	0	1	0	0.0555556
0	4	0	2	0	0.0555556
0	4	0	5	0	0.0555556
0	4	0	6	0	0.0555556
0	4	0	7	0	0.0555556
0	4	0	8	0	0.0555556
0	5	0	1	0	0.0555556
0	5	0	2	0	0.0555556
0	5	0	3	0	0.0555556
0	5	0	4	0	0.0555556
0	5	0	6	0	0.0555556
0	5	0	7	0	0.0555556
0	5	0	8	0	0.0555556
0	5	0	10	1	0.0555556
0	6	0	1	0	0.0555556
0	6	0	2	0	0.0555556
0	6	0	4	0	0.0555556
0	6	0	5	0	0.0555556
0	6	0	7	0	0.0555556
0	6	0	8	0	0.0555556
0	6	0	9	0	0.0555556
0	6	0	10	1	0.0555556
0	7	0	4	0	0.0555556
0	7	0	5	0	0.0555556
0	7	0	6	0	0.0555556
0	7	0	8	0	0.0555556
0	7	0	10	1	0.0555556
0	8	0	2	0	0.0555556
0	8	0	4	0	0.0555556
0	8	0	5	0	0.0555556
0	8	0	6	0	0.0555556
0	8	0	7	0	0.0555556
0	9	0	1	0	0.0555556
0	9	0	2	0	0.0555556
0	9	0	6	0	0.0555556
0	9	0	10	1	0.0555556
0	10	1	1	0	0.0555556
0	10	1	3	0	0.0555556
0	10	1	5	0	0.0555556
0	10	1	6	0	0.0555556
0	10	1	7	0	0.0555556
0	10	1	9	0	0.0555556
1	1	0	2	0	0.0555556
1	1	0	3	0	0.0555556
1	1	0	4	0	0.0555556
1	1	0	5	0	0.111111
1	1	0	6	0	0.111111
1	1	0	9	0	0.0555556
1	1	0	10	1	0.0555556
1	2	0	1	0	0.0555556
1	2	0	4	0	0.0555556
1	2	0	5	0	0.111111
1	2	0	6	0	0.111111
1	2	0	8	0	0.0555556
1	2	0	9	0	0.0555556
1	3	0	1	0	0.0555556
1	3	0	5	0	0.111111
1	3	0	10	1	0.0555556
1	4	0	1	0	0.0555556
1	4	0	2	0	0.0555556
1	4	0	5	0	0.111111
1	4	0	6	0	0.111111
1	4	0	7	0	0.0555556
1	4	0	8	0	0.0555556
1	5	0	1	0	0.111111
1	5	0	2	0	0.111111
1	5	0	3	0	0.111111
1	5	0	4	0	0.111111
1	5	0	6	0	0.166667
1	5	0	7	0	0.111111
1	5	0	8	0	0.111111
1	5	0	9	0	0.0555556
1	5	0	10	1	0.111111
1	6	0	1	0	0.111111
1	6	0	2	0	0.111111
1	6	0	4	0	0.111111
1	6	0	5	0	0.166667
