"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	3	5	0	0	0	0.1428571429	0
0	2	4	3	0	0	0	0	0
0	3	0	5	0	0	0	0.3333333333	0
0	4	3	2	0	0	0	0	0
0	5	1	3	0	0	0	0.125	0
0	6	3	4	0	0	0	0.125	0
0	7	1	2	0	0	0	0.2	0
0	8	3	1	0	0	0	0	0
0	9	4	5	0	0	0	0.25	0
0	10	1	5	1	1	0	0	0

1	1	3	5	0	0	0	0.1111111111	0
1	2	4	3	0	0	0	0	0
1	3	0	5	0	0	0	0.25	0
1	4	3	2	0	0	0	0	0
1	5	1.5	3	0	0	0	0.1111111111	0
1	6	3.5	4	0	0	0	0.07142857143	0
1	7	1	2	0	0	0	0.1666666667	0
1	8	3	1	0	0	0	0	0
1	9	4	5	0	0	0	0.1666666667	0
1	10	1	5	1	1	0	0	0

2	1	3	5	0	0	0	0.1111111111	0
2	2	4	3	0	0	0	0	0
2	3	0	5	0	0	0	0.2	0
2	4	3	2	0	0	0	0	0
2	5	1	3	0	0	0	0.1428571429	0
2	6	3.5	4	0	0	0	0.07142857143	0
2	7	1	2	0	0	0	0.1428571429	0
2	8	3	1	0	0	0	0	0
2	9	4	5	0	0	0	0.1666666667	0
2	10	1	5	1	1	0	0	0

3	1	3	5	0	0	0	0.09090909091	0
3	2	4	3	0	0	0	0	0
3	3	0	5	0	0	0	0.1666666667	0
3	4	3	2	0	0	0	0	0
3	5	1	3.25	0	0	0	0.125	0
3	6	3.333333333	3.666666667	0	0	0	0.07407407407	0
3	7	1	2	0	0	0	0.1111111111	0
3	8	3	1	0	0	0	0	0
3	9	4	5	0	0	0	0.1428571429	0
3	10	1	5	1	1	0	0	0

4	1	3	5	0	0	0	0.08333333333	0
4	2	4	3	0	0	0	0	0
4	3	0	5	0	0	0	0.125	0
4	4	3.333333333	2.333333333	0	0	0	0.03125	0
4	5	0.8	3	0	0	0	0.09756097561	0
4	6	3	4	0	0	0	0.05882352941	0
4	7	1	2	0	0	0	0.08333333333	0
4	8	3	1	0	0	0	0	0
4	9	4	5	0	0	0	0.1111111111	0
4	10	1	5	1	1	0	0	0

5	1	3	5	0	0	0	0.08333333333	0
5	2	4	2.5	0	0	0	0	0
5	3	0	4.5	0	0	0	0.1176470588	0
5	4	3	2.5	0	0	0	0.03225806452	0
5	5	1.333333333	3.333333333	0	0	0	0.07142857143	0
5	6	3	4	0	0	0	0.05405405405	0
5	7	0.3333333333	2.333333333	0	0	0	0.07407407407	0
5	8	3.5	0.5	0	0	0	0	0
5	9	4	5	0	0	0	0.1111111111	0
5	10	1	5	1	1	0	0	0

6	1	3	5	0	0	0	0.08333333333	0
6	2	4	2.5	0	0	0	0	0
6	3	0	4.5	0	0	0	0.1052631579	0
6	4	2.666666667	2.333333333	0	0	0	0.02083333333	0
6	5	1.25	3	0	0	0	0.0701754386	0
6	6	3	4	0	0	0	0.05128205128	0
6	7	0	1.5	0	0	0	0.03333333333	0
6	8	3.25	0.25	0	0	0	0	0
6	9	4	5	0	0	0	0.1111111111	0
6	10	1	5	1	1	0	0	0

7	1	3	5	0	0	0	0.08333333333	0
7	2	4	2.5	0	0	0	0	0
7	3	0	4.5	0	0	0	0.1111111111	0
7	4	2.666666667	2.333333333	0	0	0	0.02272727273	0
7	5	1.333333333	3.333333333	0	0	0	0.06976744186	0
7	6	3	4	0	0	0	0.05405405405	0
7	7	0	2	0	0	0	0.04347826087	0
7	8	3.25	0.25	0	0	0	0	0
7	9	4	5	0	0	0	0.1111111111	0
7	10	1	5	1	1	0	0	0

8	1	3	5	0	0	0	0.08333333333	0
8	2	4	2.5	0	0	0	0	0
8	3	0	4.5	0	0	0	0.1052631579	0
8	4	2.666666667	2.333333333	0	0	0	0.02127659574	0
8	5	1.333333333	3.333333333	0	0	0	0.0652173913	0
8	6	3	4	0	0	0	0.05128205128	0
8	7	0.25	2	0	0	0	0.05555555556	0
8	8	3.25	0.25	0	0	0	0	0
8	9	4	5	0	0	0	0.1111111111	0
8	10	1	5	1	1	0	0	0

9	1	3	5	0	0	0	0.08333333333	0
9	2	4	3	0	0	0	0	0
9	3	0	4.5	0	0	0	0.1052631579	0
9	4	2.5	2	0	0	0	0.01639344262	0
9	5	1.333333333	3.333333333	0	0	0	0.0612244898	0
9	6	2.5	4	0	0	0	0.06060606061	0
9	7	0.25	2	0	0	0	0.05128205128	0
9	8	3.5	0.5	0	0	0	0	0
9	9	4	5	0	0	0	0.1111111111	0
9	10	1	5	1	1	0	0	0

10	1	2.5	5	0	0	0	0.07692307692	0
10	2	4	2.5	0	0	0	0	0
10	3	0	4.5	0	0	0	0.09523809524	0
10	4	2.5	2	0	0	0	0.01587301587	0
10	5	1.333333333	3.333333333	0	0	0	0.05769230769	0
10	6	3	4	0	0	0	0.04545454545	0
10	7	0.25	2	0	0	0	0.05	0
10	8	3.5	0.5	0	0	0	0	0
10	9	4	5	0	0	0	0.1	0
10	10	1	5	1	1	0	0	0

11	1	2.5	5	0	0	0.009218487184	0.1538461538	0
11	2	4	2.5	0	0	0	0	0
11	3	0	4	0	0	0.01978999639	0.1538461538	0
11	4	2	1.5	0	0	0	0	0
11	5	1.5	3.5	0	0	0.005285754603	0.115942029	0
11	6	3.333333333	3.666666667	0	0	0	0.04444444444	0
11	7	0.25	2	0	0	0.0003382555055	0.09090909091	0
11	8	3.5	0.5	0	0	0	0	0
11	9	4	5	0	0	0	0.1	0
11	10	0.5	5	1	1	0.1476751693	0	0

12	2	4	2.5	0	0	1.62006273e-05	0	0
