"time"	"b_cf"	"b_c2c"	"c_V"	"p_i"	"D_V"
0	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
1	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
2	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
3	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
4	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
5	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
6	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
7	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
8	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
9	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
10	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
11	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
12	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
13	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
14	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
15	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
16	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
17	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
18	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
19	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
20	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
21	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
22	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
23	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
24	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
25	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
26	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
27	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
28	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
29	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
30	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
31	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
32	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
33	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
34	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
35	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
36	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
37	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
38	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
39	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
40	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
41	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
42	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
43	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
44	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
45	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
46	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
47	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
48	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
49	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
50	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
51	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
52	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
53	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
54	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
55	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
56	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
57	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
58	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
59	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
60	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
61	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
62	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
63	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
64	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
65	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
66	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
67	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
68	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
69	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
70	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
71	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
72	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
73	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
74	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
75	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
76	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
77	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
78	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
79	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
80	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
81	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
82	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
