"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	0	3	0	0	0	0	0
0	2	4	4	0	0	0	0	0
0	3	3	5	0	0	0	0	0
0	4	3	4	0	0	0	0	0
0	5	1	5	0	0	0	0	0
0	6	1	1	0	0	0	0.25	0
0	7	1	4	0	0	0	0	0
0	8	4	5	0	0	0	0	0
0	9	0	2	0	0	0	0	0
0	10	3	0	1	1	0	0	0

1	1	0	3	0	0	0	0	0
1	2	4	4	0	0	0	0	0
1	3	3	5	0	0	0	0	0
1	4	3	4	0	0	0	0	0
1	5	1	5	0	0	0	0	0
1	6	1	1	0	0	0	0.25	0
1	7	1.5	4	0	0	0	0	0
1	8	4	5	0	0	0	0	0
1	9	0	2	0	0	0	0	0
1	10	3	0	1	1	0	0	0

2	1	0	3	0	0	0	0	0
2	2	4	4	0	0	0	0	0
2	3	3	5	0	0	0	0	0
2	4	3	4	0	0	0	0	0
2	5	1	5	0	0	0	0	0
2	6	1	1	0	0	0	0.25	0
2	7	1.5	4	0	0	0	0	0
2	8	4	5	0	0	0	0	0
2	9	0	2	0	0	0	0	0
2	10	3	0	1	1	0	0	0

3	1	0	3	0	0	0	0	0
3	2	4	4	0	0	0	0	0
3	3	3	5	0	0	0	0	0
3	4	2.5	4	0	0	0	0	0
3	5	1.5	5	0	0	0	0	0
3	6	2	1	0	0	0	0.2142857143	0
3	7	1	4	0	0	0	0	0
3	8	4	5	0	0	0	0	0
3	9	0	2	0	0	0	0	0
3	10	3	0	1	1	0	0	0

4	1	0.5	3	0	0	0	0	0
4	2	4	4	0	0	0	0	0
4	3	3	5	0	0	0	0	0
4	4	2.5	4	0	0	0	0	0
4	5	1.5	5	0	0	0	0	0
4	6	2	1	0	0	0	0.1363636364	0
4	7	1	4	0	0	0	0	0
4	8	4	5	0	0	0	0	0
4	9	0.6666666667	1.666666667	0	0	0	0.08333333333	0
4	10	3	0	1	1	0	0	0

5	1	0.5	3	0	0	0	0	0
5	2	4	4	0	0	0	0	0
5	3	3	5	0	0	0	0	0
5	4	2	4	0	0	0	0	0
5	5	1.5	5	0	0	0	0	0
5	6	1.5	1	0	0	0	0.1379310345	0
5	7	1	4	0	0	0	0	0
5	8	4	5	0	0	0	0	0
5	9	0.3333333333	1.666666667	0	0	0	0.04166666667	0
5	10	3	0	1	1	0	0	0

6	1	1	3	0	0	0	0	0
6	2	3.666666667	3.333333333	0	0	0	0.03571428571	0
6	3	2.5	5	0	0	0	0	0
6	4	2	4	0	0	0	0	0
6	5	1	5	0	0	0	0	0
6	6	2	1.5	0	0	0	0.1111111111	0
6	7	1	4	0	0	0	0	0
6	8	4	5	0	0	0	0	0
6	9	0.3333333333	1.666666667	0	0	0	0.04761904762	0
6	10	3	0	1	1	0	0	0

7	1	1	3	0	0	0	0	0
7	2	3.666666667	3.333333333	0	0	0	0.06896551724	0
7	3	2.5	5	0	0	0	0	0
7	4	2.5	4	0	0	0	0	0
7	5	1	5	0	0	0	0	0
7	6	1.5	1	0	0	0	0.2258064516	0
7	7	1	4	0	0	0	0	0
7	8	4	5	0	0	0	0	0
7	9	0.5	2	0	0	0	0.05555555556	0
7	10	3.5	0	1	1	0	0	0

8	1	1	3	0	0	0	0	0
8	2	3.666666667	3.333333333	0	0	0	0.0625	0
8	3	2.5	5	0	0	0	0	0
8	4	2.5	4	0	0	0	0	0
8	5	1	5	0	0	0	0	0
8	6	1.8	1.2	0	0	0	0.2093023256	0
8	7	1	4	0	0	0	0	0
8	8	4	5	0	0	0	0	0
8	9	0.5	2	0	0	0	0.05	0
8	10	3.5	0	1	1	0	0	0

9	1	1.5	3	0	0	0	0.03333333333	0
9	2	3.666666667	3.333333333	0	0	0	0.1428571429	0
9	3	2.5	5	0	0	0	0	0
9	4	3	4	0	0	0	0	0
9	5	1	4.5	0	0	0	0	0
