"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	9	1
40	9	1
41	9	1
42	9	1
43	9	1
44	9	1
45	9	1
46	9	1
47	8	2
48	8	2
49	7	3
50	7	3
51	7	3
52	7	3
53	7	3
54	7	3
55	7	3
56	7	3
57	7	3
58	6	4
59	6	4
60	6	4
61	6	4
62	5	5
63	5	5
64	5	5
65	5	5
66	5	5
67	4	6
68	2	8
69	2	8
70	2	8
71	2	8
72	2	8
73	2	8
74	2	8
75	2	8
76	2	8
77	1	9
78	1	9
79	1	9
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
