"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	8	2
18	8	2
19	8	2
20	8	2
21	8	2
22	8	2
23	8	2
24	8	2
25	8	2
26	8	2
27	8	2
28	8	2
29	8	2
30	8	2
31	8	2
32	8	2
33	8	2
34	8	2
35	8	2
36	8	2
37	8	2
38	8	2
39	8	2
40	8	2
41	8	2
42	8	2
43	8	2
44	8	2
45	8	2
46	8	2
47	8	2
48	8	2
49	8	2
50	8	2
51	8	2
52	8	2
53	8	2
54	7	3
55	7	3
56	7	3
57	7	3
58	7	3
59	7	3
60	7	3
61	7	3
62	7	3
63	7	3
64	7	3
65	7	3
66	7	3
67	7	3
68	7	3
69	7	3
70	7	3
71	7	3
72	7	3
73	7	3
74	7	3
75	7	3
76	7	3
77	7	3
78	7	3
79	7	3
80	7	3
81	7	3
82	7	3
83	7	3
84	7	3
85	7	3
86	7	3
87	7	3
88	7	3
89	7	3
90	7	3
91	7	3
92	7	3
93	7	3
94	7	3
95	7	3
96	7	3
97	7	3
98	7	3
99	7	3
100	7	3
