"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	0	1	0	0	0	0	0
0	2	0	3	0	0	0	0.1666666667	0
0	3	3	4	0	0	0	0.25	0
0	4	4	1	0	0	0	0	0
0	5	2	5	0	0	0	0.1666666667	0
0	6	0	5	0	0	0	0.25	0
0	7	3	3	0	0	0	0.1666666667	0
0	8	0	2	0	0	0	0.25	0
0	9	4	4	0	0	0	0.2	0
0	10	2	4	1	1	0	0	0

1	1	0	1	0	0	0	0	0
1	2	0	3	0	0	0	0.1666666667	0
1	3	3	4	0	0	0	0.1666666667	0
1	4	3.666666667	1.333333333	0	0	0	0.1111111111	0
1	5	2	5	0	0	0	0.1666666667	0
1	6	0	5	0	0	0	0.25	0
1	7	3	3	0	0	0	0.125	0
1	8	0	2	0	0	0	0.25	0
1	9	4	4	0	0	0	0.1666666667	0
1	10	2	4	1	1	0	0	0

2	1	0	1	0	0	0	0.3333333333	0
2	2	0	3	0	0	0	0.2857142857	0
2	3	3	4	0	0	0	0.25	0
2	4	4	1.5	0	0	0	0.25	0
2	5	2	5	0	0	0	0.25	0
2	6	0	5	0	0	0	0.4	0
2	7	3.333333333	2.666666667	0	0	0	0.2727272727	0
2	8	0	2	0	0	0	0.3333333333	0
2	9	4	4	0	0	0	0.2222222222	0
2	10	2	3.5	1	1	0	0	0

3	1	0.5	1	0	0	0	0.25	0
3	2	1	3	0	0	0	0.2142857143	0
3	3	3	4	0	0	0	0.2727272727	0
3	4	3.666666667	1.666666667	0	0	0	0.2857142857	0
3	5	1.5	5	0	0	0	0.3333333333	0
3	6	0	5	0	0	0	0.375	0
3	7	3.5	3	0	0	0	0.2272727273	0
3	8	0	2.5	0	0	0	0.3333333333	0
3	9	4	4	0	0	0	0.3	0
3	10	1.666666667	3.666666667	1	1	0	0	0

4	1	0.5	1.5	0	0	0	0.2727272727	0
4	2	1	3	0	0	0	0.1764705882	0
4	3	3	4	0	0	0	0.2142857143	0
4	4	3.5	1.5	0	0	0	0.2258064516	0
4	5	1.5	5	0	0	0	0.2857142857	0
4	6	0	5	0	0	0	0.3333333333	0
4	7	3.5	3	0	0	0	0.2	0
4	8	0	3.5	0	0	0	0.2608695652	0
4	9	4	4	0	0	0	0.3	0
4	10	1.666666667	3.666666667	1	1	0	0	0

5	1	0.5	1.5	0	0	0	0.2727272727	0
5	2	0.5	3	0	0	0	0.2142857143	0
5	3	3	4	0	0	0	0.2142857143	0
5	4	3.5	1.5	0	0	0	0.2258064516	0
5	5	1.5	5	0	0	0	0.2857142857	0
5	6	0	5	0	0	0	0.3333333333	0
5	7	3.5	3	0	0	0	0.2	0
5	8	0	4	0	0	0	0.25	0
5	9	4	4	0	0	0	0.3	0
5	10	1.666666667	3.666666667	1	1	0	0	0

6	1	0.3333333333	1.666666667	0	0	0	0.3333333333	0
6	2	0	3	0	0	0	0.2727272727	0
6	3	3	4	0	0	0	0.25	0
6	4	3.333333333	0.6666666667	0	0	0	0.1333333333	0
6	5	1.5	5	0	0	0	0.3157894737	0
6	6	0	5	0	0	0	0.375	0
6	7	3.666666667	2.666666667	0	0	0	0.2592592593	0
6	8	0	4	0	0	0	0.2727272727	0
6	9	4	4	0	0	0	0.3333333333	0
6	10	1.666666667	3.666666667	1	1	0	0	0

7	1	0.3333333333	1.666666667	0	0	0	0.3333333333	0
7	2	0	3	0	0	0	0.2727272727	0
7	3	3	4	0	0	0	0.2307692308	0
7	4	3.333333333	0.6666666667	0	0	0	0.1333333333	0
7	5	2	5	0	0	0	0.3333333333	0
7	6	0	5	0	0	0	0.3333333333	0
7	7	3.666666667	2.666666667	0	0	0	0.2413793103	0
7	8	0	4	0	0	0	0.2727272727	0
7	9	4	4	0	0	0	0.3	0
7	10	1.666666667	3.666666667	1	1	0	0	0

8	1	0.3333333333	1.666666667	0	0	0	0.2083333333	0
8	2	0	3.5	0	0	0	0.1904761905	0
8	3	3	4	0	0	0	0.1538461538	0
8	4	3	0.75	0	0	0	0.1666666667	0
8	5	2	5	0	0	0	0.2222222222	0
8	6	0	5	0	0	0	0.2222222222	0
8	7	3.666666667	2.666666667	0	0	0	0.1875	0
8	8	1	4	0	0	0	0.1538461538	0
8	9	4	4	0	0	0	0.2	0
8	10	2	3.5	1	1	0	0	0

9	1	0.5	1.5	0	0	0	0.125	0
9	2	0	3	0	0	0	0.07692307692	0
9	3	2.5	4	0	0	0	0.07407407407	0
9	4	3	0.75	0	0	0	0.1071428571	0
9	5	2	5	0	0	0	0.1111111111	0
9	6	0	4.5	0	0	0	0.1111111111	0
9	7	3.666666667	2.666666667	0	0	0	0.09090909091	0
9	8	1	4	0	0	0	0.07142857143	0
9	9	4	4	0	0	0	0.1	0
9	10	2	3	1	1	0	0	0

10	1	0.6666666667	1.666666667	0	0	0	0.1111111111	0
10	2	0	3	0	0	0	0.08333333333	0
10	3	2.666666667	4.333333333	0	0	0	0.09090909091	0
10	4	3	0.75	0	0	0	0.1153846154	0
10	5	1.5	5	0	0	0	0.09523809524	0
10	6	0	4.5	0	0	0	0.1176470588	0
10	7	3.666666667	2.666666667	0	0	0	0.09090909091	0
10	8	1	4	0	0	0	0.07142857143	0
10	9	4	4	0	0	0	0.1	0
10	10	2	3	1	1	0	0	0

11	1	1	1.5	0	0	0.05469348381	0.1818181818	0
11	2	0	3	0	0	0.008413324035	0.1666666667	0
11	3	2.666666667	3.666666667	0	0	0.06451132105	0.1428571429	0
11	4	3	0.75	0	0	0.0252434109	0.2413793103	0
11	5	2	5	0	0	0.002804441345	0.1428571429	0
11	6	0	4.5	0	0	0	0.1875	0
11	7	4	2.5	0	0	0.008413324035	0.1818181818	0
11	8	1	4	0	0	0.01682664807	0.1428571429	0
11	9	4	4	0	0	0	0.1818181818	0
11	10	2	2.5	1	1	0.555416938	0	0

12	1	1	1.5	0	0	0.1498153539	0.1818181818	0
12	2	0	3	0	0	0.05843355785	0.1666666667	0
12	3	2.666666667	3.666666667	0	0	0.1618459111	0.1428571429	0
12	4	3	0.75	0	0	0.07731787849	0.2413793103	0
12	5	2	5	0	0	0.02884736286	0.1428571429	0
12	6	0	4.5	0	0	0.01261781856	0.1875	0
12	7	4	2.5	0	0	0.05843355785	0.1818181818	0
12	8	1	4	0	0	0.08240612577	0.1428571429	0
12	9	4	4	0	0	0.02108698743	0.1818181818	0
12	10	2	2.5	1	1	0.9215803558	0	0

13	1	1	1.5	0	0	0.2215295617	0.1818181818	0
13	2	0	3	0	0	0.1170382149	0.1666666667	0
13	3	2.666666667	3.666666667	0	0	0.233578251	0.1428571429	0
13	4	3	0.75	0	0	0.1283541535	0.2413793103	0
13	5	2	5	0	0	0.0666220445	0.1428571429	0
13	6	0	4.5	0	0	0.04227322591	0.1875	0
13	7	4	2.5	0	0	0.1170382149	0.1818181818	0
13	8	1	4	0	0	0.1412811626	0.1428571429	0
13	9	4	4	0	0	0.05990462164	0.1818181818	0
13	10	2	2.5	1	1	1.123814026	0	0

14	1	1	1.5	0	0	0.2788574348	0.1818181818	0
14	2	0	3	0	0	0.1711855902	0.1666666667	0
14	3	2.666666667	3.666666667	0	0	0.2905331289	0.1428571429	0
14	4	3	0.75	0	0	0.1754975726	0.2413793103	0
14	5	2	5	0	0	0.1067267709	0.1428571429	0
14	6	0	4.5	0	0	0.07934642692	0.1875	0
14	7	4	2.5	0	0	0.1711855902	0.1818181818	0
14	8	1	4	0	0	0.1923182811	0.1428571429	0
14	9	4	4	0	0	0.1026156696	0.1818181818	0
14	10	2	2.5	1	1	1.262810813	0	0

15	1	1	1.5	0	0	0.327168712	0.1818181818	0
15	2	0	3	0	0	0.219068242	0.1666666667	0
15	3	2.666666667	3.666666667	0	0	0.3384773537	0.1428571429	0
15	4	3	0.75	0	0	0.2186573918	0.2413793103	0
15	5	2	5	0	0	0.1460575051	0.1428571429	0
15	6	0	4.5	0	0	0.1179138616	0.1875	0
15	7	4	2.5	0	0	0.219068242	0.1818181818	0
15	8	1	4	0	0	0.2374101775	0.1428571429	0
15	9	4	4	0	0	0.1442823702	0.1818181818	0
15	10	2	2.5	1	1	1.370383988	0	0

16	1	1	1.5	0	0	0.3691775821	0.1818181818	0
16	2	0	3	0	0	0.2612969803	0.1666666667	0
16	3	2.666666667	3.666666667	0	0	0.3802192953	0.1428571429	0
16	4	3	0.75	0	0	0.2580262063	0.2413793103	0
16	5	2	5	0	0	0.183337047	0.1428571429	0
16	6	0	4.5	0	0	0.1551963029	0.1875	0
16	7	4	2.5	0	0	0.2612969803	0.1818181818	0
16	9	4	4	0	0	0.1832129485	0.1818181818	0
16	10	2	2.5	1	1	1.459536779	0.05882352941	0
16	8	1	4	1	1	0.2777482898	0.1428571429	1

17	1	1	1.5	0	0	0.4163876242	0.2727272727	0
17	2	0	3	0	0	0.3404043026	0.25	0
17	3	2.666666667	3.666666667	0	0	0.4610330733	0.2142857143	0
17	4	3	0.75	0	0	0.2938432684	0.2413793103	0
17	5	2	5	0	0	0.275707762	0.25	0
17	6	0	4.5	0	0	0.2765902425	0.3125	0
17	7	4	2.5	0	0	0.2987601751	0.1818181818	0
17	9	4	4	0	0	0.2204618385	0.2727272727	0
17	10	2	2.5	1	1	1.578006112	0.05882352941	0
17	8	1	4	1	1	0.5703929653	0.1428571429	1

18	1	1	1.5	0	0	0.4670279771	0.2727272727	0
18	2	0	3	0	0	0.4371129099	0.25	0
18	3	2.666666667	3.666666667	0	0	0.5315723106	0.2142857143	0
18	4	3	0.75	0	0	0.3277837781	0.2413793103	0
18	5	2	5	0	0	0.3677544937	0.25	0
18	6	0	4.5	0	0	0.3985069102	0.3125	0
18	7	4	2.5	0	0	0.3352628384	0.1818181818	0
18	9	4	4	0	0	0.2613173482	0.2727272727	0
