"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	3	5	0	0	0	0.25	0
0	2	1	2	0	0	0	0.1666666667	0
0	3	4	5	0	0	0	0	0
0	4	2	4	0	0	0	0.1666666667	0
0	5	1	1	0	0	0	0.25	0
0	6	4	2	0	0	0	0.1666666667	0
0	7	3	3	0	0	0	0.1428571429	0
0	8	1	0	0	0	0	0.25	0
0	9	4	0	0	0	0	0.3333333333	0
0	10	3	2	1	1	0	0	0

1	1	2.5	5	0	0	0	0.09090909091	0
1	2	1	3	0	0	0	0.15	0
1	3	4	5	0	0	0	0	0
1	4	2	4	0	0	0	0.1111111111	0
1	5	1	1	0	0	0	0.1428571429	0
1	6	4	2	0	0	0	0.1666666667	0
1	7	3	3	0	0	0	0.1	0
1	8	0.5	0	0	0	0	0.1428571429	0
1	9	4	0	0	0	0	0.3333333333	0
1	10	3	2	1	1	0	0	0

2	1	1.333333333	4.666666667	0	0	0	0.05555555556	0
2	2	0.6666666667	2.666666667	0	0	0	0.06896551724	0
2	3	4	5	0	0	0	0	0
2	4	2	4	0	0	0	0.1	0
2	5	0.5	1	0	0	0	0.0625	0
2	6	4	2	0	0	0	0.125	0
2	7	3	3	0	0	0	0.07692307692	0
2	8	0.5	0	0	0	0	0.09090909091	0
2	9	3.666666667	0.6666666667	0	0	0	0.2	0
2	10	3	2	1	1	0	0	0

3	1	1.333333333	4.666666667	0	0	0	0.0625	0
3	2	0	2.5	0	0	0	0.05882352941	0
3	3	4	5	0	0	0	0	0
3	4	2	4	0	0	0	0.1	0
3	5	0.6666666667	1.333333333	0	0	0	0.07407407407	0
3	6	4	2	0	0	0	0.1111111111	0
3	7	3	3	0	0	0	0.07692307692	0
3	8	0.5	0	0	0	0	0.07142857143	0
3	9	3.5	0.5	0	0	0	0.1904761905	0
3	10	3	2	1	1	0	0	0

4	1	1.333333333	4.666666667	0	0	0	0.06666666667	0
4	2	0	2.5	0	0	0	0.05882352941	0
4	3	4	5	0	0	0	0	0
4	4	2	4	0	0	0	0.09090909091	0
4	5	1	1	0	0	0	0.07142857143	0
4	6	4	2.5	0	0	0	0.1111111111	0
4	7	3	3	0	0	0	0.07142857143	0
4	8	0.5	0	0	0	0	0.07142857143	0
4	9	3.5	0.5	0	0	0	0.1538461538	0
4	10	3	2	1	1	0	0	0

5	1	1.5	5	0	0	0	0	0
5	2	0.3333333333	2.333333333	0	0	0	0.06060606061	0
5	3	4	5	0	0	0	0	0
5	4	1.666666667	3.666666667	0	0	0	0.08823529412	0
5	5	1.5	1	0	0	0	0.06896551724	0
5	6	4	2.5	0	0	0	0.09523809524	0
5	7	3	3	0	0	0	0.0625	0
5	8	0.3333333333	0.3333333333	0	0	0	0.04761904762	0
5	9	3.5	0.5	0	0	0	0.1333333333	0
5	10	3	2	1	1	0	0	0

6	1	1.5	5	0	0	0	0	0
6	2	0.3333333333	2.333333333	0	0	0	0.05263157895	0
6	3	4	5	0	0	0	0	0
6	4	1.25	3.75	0	0	0	0.06818181818	0
6	5	2	0.75	0	0	0	0.08163265306	0
6	6	4	3	0	0	0	0.1	0
6	7	3	3	0	0	0	0.05882352941	0
6	8	0.3333333333	0.3333333333	0	0	0	0.04	0
6	9	3.666666667	0.3333333333	0	0	0	0.1111111111	0
6	10	3	2	1	1	0	0	0

7	1	1.5	5	0	0	0	0	0
7	2	0.5	2	0	0	0	0.075	0
7	3	4	4.5	0	0	0	0.08333333333	0
7	4	0.5	4	0	0	0	0.06666666667	0
7	5	2.333333333	0.6666666667	0	0	0	0.08333333333	0
7	6	4	2.5	0	0	0	0.1	0
7	7	3	3	0	0	0	0.06666666667	0
7	8	0.3333333333	0.3333333333	0	0	0	0.04166666667	0
7	9	3.666666667	0.3333333333	0	0	0	0.1153846154	0
7	10	3	2	1	1	0	0	0

8	1	1.5	5	0	0	0	0	0
8	2	0.5	2	0	0	0	0.0625	0
8	3	4	4.5	0	0	0	0.06666666667	0
8	4	0.5	4	0	0	0	0.05263157895	0
8	5	2.25	1	0	0	0	0.06896551724	0
8	6	4	2	0	0	0	0.07142857143	0
8	7	3	3	0	0	0	0.06976744186	0
8	8	0.3333333333	0.3333333333	0	0	0	0.03571428571	0
8	9	3.666666667	0.3333333333	0	0	0	0.1	0
8	10	3	2	1	1	0	0	0

9	1	2	5	0	0	0	0	0
9	2	0.5	2	0	0	0	0.05555555556	0
9	3	3.666666667	4.333333333	0	0	0	0.06666666667	0
9	4	0.5	4.5	0	0	0	0.02941176471	0
9	5	2	1	0	0	0	0.05769230769	0
9	6	4	2	0	0	0	0.0625	0
9	7	2.75	3.25	0	0	0	0.06451612903	0
9	8	0.3333333333	0.3333333333	0	0	0	0.03571428571	0
9	9	3.5	0.5	0	0	0	0.1	0
9	10	3	2	1	1	0	0	0

10	1	2.5	5	0	0	0	0.07692307692	0
10	2	0.6	2.2	0	0	0	0.1267605634	0
10	3	3.666666667	4.333333333	0	0	0	0.1176470588	0
10	4	0.5	4.5	0	0	0	0.07317073171	0
10	5	2	0.5	0	0	0	0.1509433962	0
10	6	4	2	0	0	0	0.125	0
10	7	2.75	3.25	0	0	0	0.1142857143	0
10	8	0	0.5	0	0	0	0.09523809524	0
10	9	3.666666667	0.3333333333	0	0	0	0.2	0
10	10	2.5	2	1	1	0	0	0

11	1	2.5	5	0	0	0	0.07692307692	0
11	2	0.75	2	0	0	0.002308495979	0.126984127	0
11	3	3.666666667	4.333333333	0	0	0.0001902645499	0.1176470588	0
11	4	0.25	4.25	0	0	0	0.05	0
11	5	2.333333333	0.6666666667	0	0	0.004824137427	0.1304347826	0
11	6	4	2	0	0	0.006950809316	0.125	0
11	7	2.4	3.4	0	0	0.003122799916	0.1234567901	0
11	8	0.3333333333	0.3333333333	0	0	0	0.1333333333	0
11	9	3.666666667	0.3333333333	0	0	0.0005707936498	0.2	0
11	10	2.5	2	1	1	0.04439317257	0	0

12	1	2.5	5	0	0	0.0002758524958	0.07692307692	0
12	2	0.75	2	0	0	0.004878362833	0.126984127	0
12	3	3.666666667	4.333333333	0	0	0.0009971477056	0.1176470588	0
12	4	0.25	4.25	0	0	0.0002208538899	0.05	0
12	5	2.333333333	0.6666666667	0	0	0.008668571877	0.1304347826	0
12	6	4	2	0	0	0.01206561825	0.125	0
12	7	2.4	3.4	0	0	0.006116964283	0.1234567901	0
