"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	1	4	0	0	0	0.1428571429	0
0	2	2	1	0	0	0	0	0
0	3	3	4	0	0	0	0.1666666667	0
0	4	3	0	0	0	0	0	0
0	5	3	3	0	0	0	0.125	0
0	6	2	4	0	0	0	0.125	0
0	7	0	2	0	0	0	0	0
0	8	3	5	0	0	0	0.1666666667	0
0	9	1	3	0	0	0	0.125	0
0	10	1	5	1	1	0	0	0

1	1	1	4	0	0	0	0.1428571429	0
1	2	2	1	0	0	0	0	0
1	3	3	4	0	0	0	0.1666666667	0
1	4	3.5	0	0	0	0	0	0
1	5	3	3	0	0	0	0.125	0
1	6	2	4	0	0	0	0.125	0
1	7	0	2	0	0	0	0	0
1	8	3	5	0	0	0	0.1666666667	0
1	9	1	3	0	0	0	0.125	0
1	10	1	5	1	1	0	0	0

2	1	1	4	0	0	0	0.07692307692	0
2	2	1.5	1.5	0	0	0	0.02777777778	0
2	3	3	4	0	0	0	0.09090909091	0
2	4	3.5	0	0	0	0	0	0
2	5	2.666666667	2.666666667	0	0	0	0.05555555556	0
2	6	2	4	0	0	0	0.07692307692	0
2	7	0	2	0	0	0	0	0
2	8	2.5	5	0	0	0	0.125	0
2	9	1	3	0	0	0	0.07142857143	0
2	10	1	5	1	1	0	0	0

3	1	0.5	4	0	0	0	0.09090909091	0
3	2	1	1.25	0	0	0	0.03571428571	0
3	3	3	4	0	0	0	0.09090909091	0
3	4	4	0	0	0	0	0	0
3	5	2.333333333	2.333333333	0	0	0	0.02857142857	0
3	6	2	4	0	0	0	0.07692307692	0
3	7	0	2	0	0	0	0	0
3	8	2.5	5	0	0	0	0.1333333333	0
3	9	1	3	0	0	0	0.06666666667	0
3	10	1	5	1	1	0	0	0

4	1	0.5	4	0	0	0	0.08	0
4	2	1	1	0	0	0	0	0
4	3	3	4	0	0	0	0.08333333333	0
4	4	4	0	0	0	0	0	0
4	5	2.5	2.5	0	0	0	0.04166666667	0
4	6	2	4	0	0	0	0.06666666667	0
4	7	0.5	2	0	0	0	0.04	0
4	8	2.5	5	0	0	0	0.1111111111	0
4	9	0.5	3	0	0	0	0.06896551724	0
4	10	1	5	1	1	0	0	0

5	1	0.5	4	0	0	0	0.07692307692	0
5	2	1.5	1	0	0	0	0	0
5	3	3.5	4	0	0	0	0.04761904762	0
5	4	3.5	0	0	0	0	0	0
5	5	2.666666667	2.333333333	0	0	0	0.02173913043	0
