"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	3	4	0	0	0	0.1666666667	0
0	2	2	3	0	0	0	0.1111111111	0
0	3	1	4	0	0	0	0	0
0	4	0	5	0	0	0	0	0
0	5	3	5	0	0	0	0	0
0	6	4	1	0	0	0	0.25	0
0	7	2	1	0	0	0	0.25	0
0	8	3	2	0	0	0	0.1428571429	0
0	9	4	5	0	0	0	0.25	0
0	10	4	2	1	1	0	0	0

1	1	3	3.5	0	0	0	0.1	0
1	2	1.5	3	0	0	0	0.04761904762	0
1	3	1.666666667	4.333333333	0	0	0	0.04166666667	0
1	4	0	5	0	0	0	0	0
1	5	3	5	0	0	0	0	0
1	6	4	1	0	0	0	0.2	0
1	7	2	1	0	0	0	0.1428571429	0
1	8	3	2	0	0	0	0.1	0
1	9	4	5	0	0	0	0.1428571429	0
1	10	4	2	1	1	0	0	0

2	1	3	4	0	0	0	0.09090909091	0
2	2	1.5	3	0	0	0	0.04347826087	0
2	3	1.666666667	4.333333333	0	0	0	0.03703703704	0
2	4	0	5	0	0	0	0	0
2	5	3	5	0	0	0	0	0
2	6	4	1	0	0	0	0.1666666667	0
2	7	2	1	0	0	0	0.125	0
2	8	2.666666667	2.333333333	0	0	0	0.1034482759	0
2	9	4	5	0	0	0	0.1428571429	0
2	10	4	2	1	1	0	0	0

3	1	3.5	4	0	0	0	0.16	0
3	2	1	2.5	0	0	0	0.1	0
3	3	1.666666667	4.333333333	0	0	0	0.08333333333	0
3	4	0	5	0	0	0	0	0
3	5	3	5	0	0	0	0.08333333333	0
3	6	4	1	0	0	0	0.25	0
3	7	2	1.5	0	0	0	0.1666666667	0
3	8	3	2.5	0	0	0	0.1379310345	0
3	9	4	5	0	0	0	0.2222222222	0
3	10	4	2.5	1	1	0	0	0

4	1	3.5	4	0	0	0	0.2307692308	0
4	2	1	2.8	0	0	0	0.1509433962	0
4	3	2	4.5	0	0	0	0.1851851852	0
4	4	0	5	0	0	0	0	0
4	5	3	5	0	0	0	0.1666666667	0
4	6	4	1	0	0	0	0.3	0
4	7	2	1.25	0	0	0	0.243902439	0
4	8	3	2	0	0	0	0.1764705882	0
4	9	4	5	0	0	0	0.3333333333	0
4	10	3.666666667	2.666666667	1	1	0	0	0

5	1	3.5	4	0	0	0	0.2222222222	0
5	2	0.75	2.75	0	0	0	0.1136363636	0
5	3	1.75	4.25	0	0	0	0.1764705882	0
5	4	0	5	0	0	0	0	0
5	5	3	5	0	0	0	0.1538461538	0
5	6	4	0.5	0	0	0	0.3125	0
5	7	2	1.25	0	0	0	0.2272727273	0
5	8	3	2	0	0	0	0.1666666667	0
5	9	4	5	0	0	0	0.3	0
5	10	3.666666667	2.666666667	1	1	0	0	0

6	1	3	4	0	0	0	0.2666666667	0
6	2	0.5	2.5	0	0	0	0.1219512195	0
6	3	1.75	4	0	0	0	0.2280701754	0
6	4	0.5	5	0	0	0	0.05263157895	0
6	5	3	5	0	0	0	0.2307692308	0
6	6	4	0.5	0	0	0	0.4	0
6	7	2	1	0	0	0	0.2285714286	0
6	8	3	2	0	0	0	0.2352941176	0
6	9	4	5	0	0	0	0.4	0
6	10	3.75	3	1	1	0	0	0

7	1	3	4	0	0	0	0.2666666667	0
7	2	0.3333333333	2.666666667	0	0	0	0.09677419355	0
7	3	2	4	0	0	0	0.2340425532	0
7	4	0.6666666667	4.666666667	0	0	0	0.1071428571	0
7	5	3	5	0	0	0	0.2307692308	0
7	6	3.5	0.5	0	0	0	0.3548387097	0
7	7	2	1	0	0	0	0.2105263158	0
7	8	3	2	0	0	0	0.2222222222	0
7	9	4	5	0	0	0	0.4	0
7	10	3.75	3	1	1	0	0	0

8	1	3	3.5	0	0	0	0.2	0
8	2	0	2	0	0	0	0	0
8	3	2	4	0	0	0	0.1777777778	0
8	4	0.6666666667	4.666666667	0	0	0	0.04	0
8	5	3	5	0	0	0	0.1666666667	0
8	6	3.5	0.5	0	0	0	0.2352941176	0
8	7	1.75	0.75	0	0	0	0.1333333333	0
8	8	3	2	0	0	0	0.1666666667	0
8	9	4	5	0	0	0	0.3	0
8	10	4	3	1	1	0	0	0

9	1	3	3.5	0	0	0	0.2142857143	0
9	2	0	2	0	0	0	0	0
9	3	2	4	0	0	0	0.2051282051	0
9	4	1	4.5	0	0	0	0.05555555556	0
9	5	3	5	0	0	0	0.1818181818	0
9	6	3.5	0.5	0	0	0	0.2666666667	0
9	7	1.666666667	0.3333333333	0	0	0	0.1071428571	0
9	8	3	2	0	0	0	0.1764705882	0
9	9	4	5	0	0	0	0.3	0
9	10	4	3	1	1	0	0	0

10	1	3	3.5	0	0	0	0.1714285714	0
10	2	0.4	1.8	0	0	0	0.01923076923	0
10	3	2	4	0	0	0	0.1666666667	0
10	4	1	4	0	0	0	0.05128205128	0
10	5	3	5	0	0	0	0.1666666667	0
10	6	3.5	0.5	0	0	0	0.2	0
10	7	1.75	0.75	0	0	0	0.1071428571	0
10	8	3	2	0	0	0	0.1428571429	0
10	9	4	5	0	0	0	0.3	0
10	10	4	3	1	1	0	0	0

11	2	0.5	2	0	0	0	0.04166666667	0
11	3	2	4	0	0	0	0.06	0
11	4	0.75	4	0	0	0	0	0
11	5	3	5	0	0	0	0	0
11	6	3.333333333	0.3333333333	0	0	0.007817300988	0.1875	0
11	7	1.75	0.75	0	0	0.0004375349735	0.1132075472	0
11	8	3	2	0	0	0.01041334656	0.09523809524	0
11	9	4	5	0	0	0	0.1	0
11	10	4	1.5	1	1	0.07595624171	0.2592592593	0
11	1	3.5	3.5	1	1	0.0130385564	0.1272727273	1

12	2	0.5	2	0	0	0.0006506551944	0.125	0
12	3	2	4	0	0	0.01463643462	0.3	0
12	5	3	5	0	0	0.02110055568	0.3333333333	0
12	6	3.333333333	0.3333333333	0	0	0.02689251387	0.34375	0
12	7	1.75	0.75	0	0	0.005353187448	0.2264150943	0
12	10	4	1.5	1	1	0.17033479	0.3703703704	0
12	1	3.5	3.5	1	1	0.3003217289	0.4363636364	1
12	4	0.75	4	1	1	0.006223411166	0.2608695652	1
12	8	3	2	1	1	0.04699085442	0.380952381	1
12	9	4	5	1	1	0.02670176081	0.6	1

13	2	0.5	2	0	0	0.01872064841	0.4583333333	0
13	3	2	4	0	0	0.05652365429	0.64	0
13	7	1.75	0.75	0	0	0.02020948445	0.3962264151	0
13	10	4	1.5	1	1	0.2714960198	0.5925925926	0
13	1	3.5	3.5	1	1	0.5510513427	0.6	1
13	4	0.75	4	1	1	0.2555293097	0.347826087	1
13	8	3	2	1	1	0.1096158865	0.5714285714	1
13	9	4	5	1	1	0.1193693625	0.7	1
13	5	3	5	1	1	0.07159856388	0.75	1
13	6	3.333333333	0.3333333333	1	1	0.1595418403	0.46875	1

14	2	0.5	2	0	0	0.0439598565	0.5416666667	0
14	10	4	1.5	1	1	0.4069776806	0.9259259259	0
14	1	3.5	3.5	1	1	0.8155962578	0.9272727273	1
14	4	0.75	4	1	1	0.4535629388	0.7173913043	1
14	8	3	2	1	1	0.169461168	0.8571428571	1
14	9	4	5	1	1	0.2082934878	1	1
14	5	3	5	1	1	0.168220195	1	1
14	6	3.333333333	0.3333333333	1	1	0.4322005736	0.875	1
14	3	2	4	1	1	0.3387683098	0.84	1
14	7	1.75	0.75	1	1	0.2048096154	0.7358490566	1

15	10	4	1.5	1	1	0.5535245359	1	0
15	1	3.5	3.5	1	1	1.127226578	1	1
15	4	0.75	4	1	1	0.711649651	1	1
15	8	3	2	1	1	0.2478103803	1	1
15	9	4	5	1	1	0.2928263529	1	1
15	5	3	5	1	1	0.2648166439	1	1
15	6	3.333333333	0.3333333333	1	1	0.6985931621	1	1
15	3	2	4	1	1	0.6719993214	1	1
15	7	1.75	0.75	1	1	0.5939748587	1	1
15	2	0.5	2	1	1	0.3565301944	1	1

16	10	4	1.5	1	1	0.7107368119	1	0
16	1	3.5	3.5	1	1	1.455288381	1	1
16	4	0.75	4	1	1	1.042780347	1	1
16	8	3	2	1	1	0.3316815207	1	1
16	9	4	5	1	1	0.3784361219	1	1
16	5	3	5	1	1	0.3574236902	1	1
16	6	3.333333333	0.3333333333	1	1	0.963373529	1	1
16	3	2	4	1	1	0.9448365302	1	1
16	7	1.75	0.75	1	1	0.9661840989	1	1
16	2	0.5	2	1	1	0.8010366121	1	1

17	10	4	1.5	1	1	0.8747831055	1	0
17	1	3.5	3.5	1	1	1.788780334	1	1
17	4	0.75	4	1	1	1.385570363	1	1
17	8	3	2	1	1	0.4179279936	1	1
17	9	4	5	1	1	0.4636883734	1	1
17	5	3	5	1	1	0.4446064064	1	1
17	6	3.333333333	0.3333333333	1	1	1.224288194	1	1
17	3	2	4	1	1	1.208649533	1	1
17	7	1.75	0.75	1	1	1.325430785	1	1
17	2	0.5	2	1	1	1.185099046	1	1

18	10	4	1.5	1	1	1.041835813	1	0
18	1	3.5	3.5	1	1	2.124363926	1	1
18	4	0.75	4	1	1	1.72717901	1	1
18	8	3	2	1	1	0.5039631028	1	1
18	9	4	5	1	1	0.5477763508	1	1
18	5	3	5	1	1	0.5292766576	1	1
18	6	3.333333333	0.3333333333	1	1	1.481953973	1	1
18	3	2	4	1	1	1.466968013	1	1
18	7	1.75	0.75	1	1	1.676117176	1	1
18	2	0.5	2	1	1	1.547949139	1	1

19	10	4	1.5	1	1	1.209525011	1	0
19	1	3.5	3.5	1	1	2.459211803	1	1
19	4	0.75	4	1	1	2.066000594	1	1
19	8	3	2	1	1	0.5891930455	1	1
19	9	4	5	1	1	0.630963625	1	1
19	5	3	5	1	1	0.6127705432	1	1
19	6	3.333333333	0.3333333333	1	1	1.73694064	1	1
19	3	2	4	1	1	1.721378533	1	1
19	7	1.75	0.75	1	1	2.021212153	1	1
19	2	0.5	2	1	1	1.899356209	1	1

20	10	4	1.5	1	1	1.376656468	1	0
20	1	3.5	3.5	1	1	2.792012313	1	1
20	4	0.75	4	1	1	2.401700587	1	1
20	8	3	2	1	1	0.6735163531	1	1
20	9	4	5	1	1	0.7134722124	1	1
20	5	3	5	1	1	0.695502427	1	1
20	6	3.333333333	0.3333333333	1	1	1.989546262	1	1
20	3	2	4	1	1	1.972735913	1	1
20	7	1.75	0.75	1	1	2.361814837	1	1
20	2	0.5	2	1	1	2.243274853	1	1

21	10	4	1.5	1	1	1.542672608	1	0
21	1	3.5	3.5	1	1	3.122227544	1	1
21	4	0.75	4	1	1	2.734205157	1	1
21	8	3	2	1	1	0.7569427288	1	1
21	9	4	5	1	1	0.7953756938	1	1
21	5	3	5	1	1	0.7775857728	1	1
21	6	3.333333333	0.3333333333	1	1	2.239847256	1	1
21	3	2	4	1	1	2.221460212	1	1
21	7	1.75	0.75	1	1	2.698388203	1	1
21	2	0.5	2	1	1	2.581560788	1	1

22	10	4	1.5	1	1	1.70732273	1	0
22	1	3.5	3.5	1	1	3.449646437	1	1
22	4	0.75	4	1	1	3.063506308	1	1
22	8	3	2	1	1	0.8395010372	1	1
22	9	4	5	1	1	0.8766766312	1	1
22	5	3	5	1	1	0.8590356081	1	1
22	6	3.333333333	0.3333333333	1	1	2.487828847	1	1
22	3	2	4	1	1	2.467749393	1	1
22	7	1.75	0.75	1	1	3.03116021	1	1
22	2	0.5	2	1	1	2.915166985	1	1

23	10	4	1.5	1	1	1.870496539	1	0
23	1	3.5	3.5	1	1	3.774186646	1	1
23	4	0.75	4	1	1	3.389615947	1	1
23	8	3	2	1	1	0.9212178238	1	1
23	9	4	5	1	1	0.9573546852	1	1
23	5	3	5	1	1	0.9398379185	1	1
23	6	3.333333333	0.3333333333	1	1	2.733456178	1	1
23	3	2	4	1	1	2.711694898	1	1
23	7	1.75	0.75	1	1	3.360266569	1	1
23	2	0.5	2	1	1	3.244620693	1	1

24	10	4	1.5	1	1	2.032146909	1	0
24	1	3.5	3.5	1	1	4.095814614	1	1
24	4	0.75	4	1	1	3.712553419	1	1
24	8	3	2	1	1	1.002113587	1	1
24	9	4	5	1	1	1.037386438	1	1
24	5	3	5	1	1	1.019973561	1	1
24	6	3.333333333	0.3333333333	1	1	2.976701253	1	1
24	3	2	4	1	1	2.953339298	1	1
24	7	1.75	0.75	1	1	3.685804678	1	1
24	2	0.5	2	1	1	3.570235923	1	1

25	10	4	1.5	1	1	2.192255396	1	0
25	1	3.5	3.5	1	1	4.414515294	1	1
25	4	0.75	4	1	1	4.032341506	1	1
25	8	3	2	1	1	1.082203554	1	1
25	9	4	5	1	1	1.11675184	1	1
25	5	3	5	1	1	1.099425758	1	1
25	6	3.333333333	0.3333333333	1	1	3.217549529	1	1
25	3	2	4	1	1	3.192703886	1	1
25	7	1.75	0.75	1	1	4.007854392	1	1
25	2	0.5	2	1	1	3.892214551	1	1

26	10	4	1.5	1	1	2.350817096	1	0
26	1	3.5	3.5	1	1	4.730281465	1	1
26	4	0.75	4	1	1	4.349004811	1	1
26	8	3	2	1	1	1.161499278	1	1
26	9	4	5	1	1	1.195435476	1	1
26	5	3	5	1	1	1.178181762	1	1
26	6	3.333333333	0.3333333333	1	1	3.455999008	1	1
26	3	2	4	1	1	3.429801491	1	1
26	7	1.75	0.75	1	1	4.326486076	1	1
26	2	0.5	2	1	1	4.210696678	1	1

27	10	4	1.5	1	1	2.507833984	1	0
27	1	3.5	3.5	1	1	5.043110317	1	1
27	4	0.75	4	1	1	4.662568957	1	1
27	8	3	2	1	1	1.240010023	1	1
27	9	4	5	1	1	1.273426163	1	1
27	5	3	5	1	1	1.256232629	1	1
27	6	3.333333333	0.3333333333	1	1	3.692057338	1	1
27	3	2	4	1	1	3.664642258	1	1
27	7	1.75	0.75	1	1	4.641763809	1	1
27	2	0.5	2	1	1	4.525786683	1	1

28	10	4	1.5	1	1	2.663311918	1	0
28	1	3.5	3.5	1	1	5.353002516	1	1
28	4	0.75	4	1	1	4.973060125	1	1
28	8	3	2	1	1	1.317743756	1	1
28	9	4	5	1	1	1.350716163	1	1
28	5	3	5	1	1	1.333572541	1	1
28	6	3.333333333	0.3333333333	1	1	3.925738935	1	1
28	3	2	4	1	1	3.897236138	1	1
28	7	1.75	0.75	1	1	4.953746783	1	1
28	2	0.5	2	1	1	4.837567199	1	1

29	10	4	1.5	1	1	2.817259195	1	0
29	1	3.5	3.5	1	1	5.659961948	1	1
29	4	0.75	4	1	1	5.280504781	1	1
29	8	3	2	1	1	1.394707765	1	1
29	9	4	5	1	1	1.427300458	1	1
29	5	3	5	1	1	1.410198121	1	1
29	6	3.333333333	0.3333333333	1	1	4.157062698	1	1
29	3	2	4	1	1	4.127593879	1	1
29	7	1.75	0.75	1	1	5.262490055	1	1
29	2	0.5	2	1	1	5.146106906	1	1

30	10	4	1.5	1	1	2.969685786	1	0
30	1	3.5	3.5	1	1	5.963995563	1	1
30	4	0.75	4	1	1	5.584929509	1	1
30	8	3	2	1	1	1.470909029	1	1
30	9	4	5	1	1	1.503176159	1	1
30	5	3	5	1	1	1.486107891	1	1
30	6	3.333333333	0.3333333333	1	1	4.386050353	1	1
30	3	2	4	1	1	4.355727337	1	1
30	7	1.75	0.75	1	1	5.568045064	1	1
30	2	0.5	2	1	1	5.451465055	1	1

31	10	4	1.5	1	1	3.120602873	1	0
31	1	3.5	3.5	1	1	6.265113171	1	1
31	4	0.75	4	1	1	5.88636092	1	1
31	8	3	2	1	1	1.546354419	1	1
31	9	4	5	1	1	1.578342065	1	1
31	5	3	5	1	1	1.561301852	1	1
31	6	3.333333333	0.3333333333	1	1	4.612725318	1	1
31	3	2	4	1	1	4.581649503	1	1
31	7	1.75	0.75	1	1	5.870460061	1	1
31	2	0.5	2	1	1	5.753694212	1	1

32	10	4	1.5	1	1	3.270022532	1	0
32	1	3.5	3.5	1	1	6.563327168	1	1
32	4	0.75	4	1	1	6.184825597	1	1
32	8	3	2	1	1	1.621050797	1	1
32	9	4	5	1	1	1.652798327	1	1
32	5	3	5	1	1	1.635781174	1	1
32	6	3.333333333	0.3333333333	1	1	4.837111933	1	1
32	3	2	4	1	1	4.805374414	1	1
32	7	1.75	0.75	1	1	6.169780481	1	1
32	2	0.5	2	1	1	6.052842007	1	1

33	10	4	1.5	1	1	3.417957492	1	0
33	1	3.5	3.5	1	1	6.858652234	1	1
33	4	0.75	4	1	1	6.48035007	1	1
33	8	3	2	1	1	1.695005055	1	1
33	9	4	5	1	1	1.726546191	1	1
33	5	3	5	1	1	1.70954796	1	1
33	6	3.333333333	0.3333333333	1	1	5.059234955	1	1
33	3	2	4	1	1	5.026917022	1	1
33	7	1.75	0.75	1	1	6.466049292	1	1
33	2	0.5	2	1	1	6.348952294	1	1

34	10	4	1.5	1	1	3.564420957	1	0
34	1	3.5	3.5	1	1	7.151105019	1	1
34	4	0.75	4	1	1	6.772960803	1	1
34	8	3	2	1	1	1.768224121	1	1
34	9	4	5	1	1	1.799587798	1	1
34	5	3	5	1	1	1.782605073	1	1
34	6	3.333333333	0.3333333333	1	1	5.279119232	1	1
34	3	2	4	1	1	5.246293062	1	1
34	7	1.75	0.75	1	1	6.759307289	1	1
34	2	0.5	2	1	1	6.642065953	1	1

35	10	4	1.5	1	1	3.709426462	1	0
35	1	3.5	3.5	1	1	7.440703841	1	1
35	4	0.75	4	1	1	7.062684188	1	1
35	8	3	2	1	1	1.840714958	1	1
35	9	4	5	1	1	1.871926025	1	1
35	5	3	5	1	1	1.854955992	1	1
35	6	3.333333333	0.3333333333	1	1	5.496789492	1	1
35	3	2	4	1	1	5.463518922	1	1
35	7	1.75	0.75	1	1	7.049593367	1	1
35	2	0.5	2	1	1	6.932221475	1	1

36	10	4	1.5	1	1	3.852987759	1	0
36	1	3.5	3.5	1	1	7.727468418	1	1
36	4	0.75	4	1	1	7.349546544	1	1
36	8	3	2	1	1	1.912484546	1	1
36	9	4	5	1	1	1.943564356	1	1
36	5	3	5	1	1	1.9266047	1	1
36	6	3.333333333	0.3333333333	1	1	5.712270213	1	1
36	3	2	4	1	1	5.678611531	1	1
36	7	1.75	0.75	1	1	7.336944749	1	1
36	2	0.5	2	1	1	7.219455392	1	1

37	10	4	1.5	1	1	3.995118728	1	0
37	1	3.5	3.5	1	1	8.011419616	1	1
37	4	0.75	4	1	1	7.63357411	1	1
37	8	3	2	1	1	1.983539867	1	1
37	9	4	5	1	1	2.014506776	1	1
37	5	3	5	1	1	1.997555597	1	1
37	6	3.333333333	0.3333333333	1	1	5.925585543	1	1
37	3	2	4	1	1	5.891588259	1	1
37	7	1.75	0.75	1	1	7.621397192	1	1
37	2	0.5	2	1	1	7.503802605	1	1

38	10	4	1.5	1	1	4.13583331	1	0
38	1	3.5	3.5	1	1	8.292579239	1	1
38	4	0.75	4	1	1	7.914793044	1	1
38	8	3	2	1	1	2.053887895	1	1
38	9	4	5	1	1	2.084757683	1	1
38	5	3	5	1	1	2.067813423	1	1
38	6	3.333333333	0.3333333333	1	1	6.136759256	1	1
38	3	2	4	1	1	6.102466833	1	1
38	7	1.75	0.75	1	1	7.902985157	1	1
38	2	0.5	2	1	1	7.785296646	1	1

39	10	4	1.5	1	1	4.275145453	1	0
39	1	3.5	3.5	1	1	8.570969841	1	1
39	4	0.75	4	1	1	8.193229419	1	1
39	8	3	2	1	1	2.123535579	1	1
39	9	4	5	1	1	2.154321812	1	1
39	5	3	5	1	1	2.137383198	1	1
39	6	3.333333333	0.3333333333	1	1	6.345814729	1	1
39	3	2	4	1	1	6.311265256	1	1
39	7	1.75	0.75	1	1	8.181741959	1	1
39	2	0.5	2	1	1	8.063969875	1	1

40	10	4	1.5	1	1	4.413069071	1	0
40	1	3.5	3.5	1	1	8.84661457	1	1
40	4	0.75	4	1	1	8.468909213	1	1
40	8	3	2	1	1	2.192489832	1	1
40	9	4	5	1	1	2.223204179	1	1
40	5	3	5	1	1	2.206270167	1	1
40	6	3.333333333	0.3333333333	1	1	6.552774939	1	1
40	3	2	4	1	1	6.518001744	1	1
40	7	1.75	0.75	1	1	8.457699897	1	1
40	2	0.5	2	1	1	8.339853652	1	1

41	10	4	1.5	1	1	4.549618013	1	0
41	1	3.5	3.5	1	1	9.119537033	1	1
41	4	0.75	4	1	1	8.741858306	1	1
41	8	3	2	1	1	2.260757529	1	1
41	9	4	5	1	1	2.29141002	1	1
41	5	3	5	1	1	2.27447976	1	1
41	6	3.333333333	0.3333333333	1	1	6.757662459	1	1
41	3	2	4	1	1	6.722694675	1	1
41	7	1.75	0.75	1	1	8.730890358	1	1
41	2	0.5	2	1	1	8.61297846	1	1

42	10	4	1.5	1	1	4.684806043	1	0
42	1	3.5	3.5	1	1	9.389761185	1	1
42	4	0.75	4	1	1	9.012102471	1	1
42	8	3	2	1	1	2.328345493	1	1
42	9	4	5	1	1	2.358944755	1	1
42	5	3	5	1	1	2.34201755	1	1
42	6	3.333333333	0.3333333333	1	1	6.960499473	1	1
42	3	2	4	1	1	6.925362532	1	1
42	7	1.75	0.75	1	1	9.001343917	1	1
42	2	0.5	2	1	1	8.88337402	1	1

43	10	4	1.5	1	1	4.818646819	1	0
43	1	3.5	3.5	1	1	9.657311228	1	1
43	4	0.75	4	1	1	9.27966736	1	1
43	8	3	2	1	1	2.395260493	1	1
43	9	4	5	1	1	2.425813945	1	1
43	5	3	5	1	1	2.408889229	1	1
43	6	3.333333333	0.3333333333	1	1	7.161307785	1	1
43	3	2	4	1	1	7.126023873	1	1
43	7	1.75	0.75	1	1	9.269090414	1	1
43	2	0.5	2	1	1	9.151069375	1	1

44	10	4	1.5	1	1	4.951153884	1	0
