"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	3	5	0	0	0	0	0
0	2	2	1	0	0	0	0.25	0
0	3	4	4	0	0	0	0	0
0	4	4	3	0	0	0	0	0
0	5	4	2	0	0	0	0	0
0	6	1	4	0	0	0	0	0
0	7	2	4	0	0	0	0	0
0	8	0	5	0	0	0	0	0
0	9	4	5	0	0	0	0	0
0	10	1	0	1	1	0	0	0

1	1	3	5	0	0	0	0	0
1	2	2	1	0	0	0	0.2	0
1	3	3.5	4	0	0	0	0	0
1	4	3.5	3	0	0	0	0	0
1	5	4	2	0	0	0	0	0
1	6	1	4	0	0	0	0	0
1	7	2	4	0	0	0	0	0
1	8	0	5	0	0	0	0	0
1	9	4	5	0	0	0	0	0
1	10	1	0	1	1	0	0	0

2	1	3	5	0	0	0	0	0
2	2	2	1	0	0	0	0.1666666667	0
2	3	3.5	4	0	0	0	0	0
2	4	3.5	3	0	0	0	0	0
2	5	3.5	2	0	0	0	0.0625	0
2	6	1	4	0	0	0	0	0
2	7	2	4	0	0	0	0	0
2	8	0	5	0	0	0	0	0
2	9	4	5	0	0	0	0	0
2	10	1	0	1	1	0	0	0

3	1	3	5	0	0	0	0	0
3	2	2	1.5	0	0	0	0.1052631579	0
3	3	3.5	4	0	0	0	0	0
3	4	3.5	3	0	0	0	0	0
3	5	3.333333333	1.666666667	0	0	0	0.07692307692	0
3	6	1	3.5	0	0	0	0.05263157895	0
3	7	2	4	0	0	0	0	0
3	8	0	5	0	0	0	0	0
3	9	4	5	0	0	0	0	0
3	10	1	0	1	1	0	0	0

4	1	3	5	0	0	0	0	0
4	2	2	1.5	0	0	0	0.1739130435	0
4	3	3.666666667	3.666666667	0	0	0	0	0
4	4	3	3	0	0	0	0	0
4	5	3.333333333	1.666666667	0	0	0	0.15625	0
4	6	1.333333333	3.333333333	0	0	0	0.06060606061	0
4	7	2	4	0	0	0	0	0
4	8	0	5	0	0	0	0	0
4	9	4	5	0	0	0	0	0
4	10	1.5	0	1	1	0	0	0

5	1	3	5	0	0	0	0	0
5	2	2	2	0	0	0	0.1219512195	0
5	3	4	3	0	0	0	0	0
5	4	3.333333333	3.666666667	0	0	0	0	0
5	5	3.333333333	1.666666667	0	0	0	0.1428571429	0
5	6	0.75	3	0	0	0	0.07894736842	0
5	7	2	4	0	0	0	0	0
5	8	0	5	0	0	0	0	0
5	9	4	5	0	0	0	0	0
5	10	1.5	0	1	1	0	0	0

6	1	3	5	0	0	0	0	0
