"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	3	3	0	0	0	0.125	0
0	2	3	4	0	0	0	0.125	0
0	3	1	0	0	0	0	0	0
0	4	4	4	0	0	0	0.125	0
0	5	2	4	0	0	0	0.125	0
0	6	3	5	0	0	0	0.125	0
0	7	1	4	0	0	0	0	0
0	8	3	2	0	0	0	0	0
0	9	4	3	0	0	0	0.1428571429	0
0	10	4	5	1	1	0	0	0

1	1	3	3	0	0	0	0.1	0
1	2	3	4.5	0	0	0	0.1176470588	0
1	3	1	0	0	0	0	0	0
1	4	4	4	0	0	0	0.1	0
1	5	2	4	0	0	0	0.1	0
1	6	2	5	0	0	0	0.125	0
1	7	1	4	0	0	0	0	0
1	8	3.5	2	0	0	0	0.07142857143	0
1	9	4	3	0	0	0	0.1111111111	0
1	10	4	5	1	1	0	0	0

2	1	3	3	0	0	0	0.1666666667	0
2	2	3	4	0	0	0	0.1666666667	0
2	3	1	0	0	0	0	0	0
2	4	4	4	0	0	0	0.2	0
2	5	2	4	0	0	0	0.1818181818	0
2	6	2	5	0	0	0	0.2222222222	0
2	7	1	4.5	0	0	0	0.2307692308	0
2	8	3.333333333	1.666666667	0	0	0	0.1111111111	0
2	9	4	3	0	0	0	0.2	0
2	10	3.5	5	1	1	0	0	0

3	1	2.25	2.25	0	0	0	0.09090909091	0
3	2	3	4	0	0	0	0.1538461538	0
3	3	1	0	0	0	0	0	0
3	4	4	4	0	0	0	0.1666666667	0
3	5	2	4	0	0	0	0.1428571429	0
3	6	2	5	0	0	0	0.1666666667	0
3	7	0.6666666667	4.666666667	0	0	0	0.2105263158	0
3	8	3.5	1	0	0	0	0.03846153846	0
3	9	4	3	0	0	0	0.1538461538	0
3	10	3.5	5	1	1	0	0	0

4	1	2.4	2.2	0	0	0	0.09090909091	0
4	2	3	4	0	0	0	0.1428571429	0
4	3	1	0	0	0	0	0	0
4	4	4	4	0	0	0	0.1538461538	0
4	5	2	4	0	0	0	0.1333333333	0
4	6	2	5	0	0	0	0.1666666667	0
4	7	0.6666666667	4.666666667	0	0	0	0.2	0
4	8	3.5	1	0	0	0	0.03333333333	0
4	9	4	3	0	0	0	0.1428571429	0
4	10	3.5	5	1	1	0	0	0

5	1	2.4	2.2	0	0	0	0.08333333333	0
5	2	3	4	0	0	0	0.1428571429	0
5	3	1	0.5	0	0	0	0	0
5	4	4	4	0	0	0	0.1538461538	0
5	5	2	4	0	0	0	0.1333333333	0
5	6	2	5	0	0	0	0.1666666667	0
5	7	0.6666666667	4.666666667	0	0	0	0.1904761905	0
5	8	3.5	1	0	0	0	0.0303030303	0
5	9	4	3	0	0	0	0.1428571429	0
5	10	3.5	5	1	1	0	0	0

6	1	2.666666667	2.333333333	0	0	0	0.07142857143	0
6	2	3	4	0	0	0	0.1333333333	0
6	3	1	0.5	0	0	0	0	0
6	4	4	4	0	0	0	0.1538461538	0
6	5	2	3.5	0	0	0	0.1290322581	0
6	6	2	5	0	0	0	0.1538461538	0
6	7	0.5	4.5	0	0	0	0.1538461538	0
6	8	3.333333333	0.6666666667	0	0	0	0	0
6	9	4	2.5	0	0	0	0.1304347826	0
6	10	3.5	5	1	1	0	0	0

7	1	2.666666667	2.333333333	0	0	0	0.06976744186	0
7	2	3	4	0	0	0	0.1333333333	0
7	3	0.6666666667	0.3333333333	0	0	0	0	0
7	4	4	4	0	0	0	0.1538461538	0
7	5	1.666666667	3.666666667	0	0	0	0.125	0
7	6	2	5	0	0	0	0.1538461538	0
7	7	0.3333333333	4.666666667	0	0	0	0.1578947368	0
7	8	3	0.5	0	0	0	0	0
7	9	4	2	0	0	0	0.1034482759	0
7	10	3.5	5	1	1	0	0	0

8	1	2.666666667	2.333333333	0	0	0	0.07142857143	0
8	2	3	4	0	0	0	0.125	0
8	3	0.5	1	0	0	0	0	0
8	4	4	4	0	0	0	0.1538461538	0
8	5	1.25	3.75	0	0	0	0.1041666667	0
8	6	2	5	0	0	0	0.1538461538	0
8	7	0.5	5	0	0	0	0.1875	0
8	8	3.5	1	0	0	0	0	0
8	9	4	2.5	0	0	0	0.1304347826	0
8	10	3.5	5	1	1	0	0	0

9	1	2.333333333	2.333333333	0	0	0	0.0625	0
9	2	3	4	0	0	0	0.1333333333	0
9	3	0.5	0.5	0	0	0	0	0
9	4	4	4	0	0	0	0.1538461538	0
9	5	1	4	0	0	0	0.09677419355	0
9	6	2	5	0	0	0	0.1538461538	0
9	7	0.5	5	0	0	0	0.2	0
9	8	3.5	0.5	0	0	0	0	0
9	9	3.666666667	2.666666667	0	0	0	0.1315789474	0
9	10	3.5	5	1	1	0	0	0

10	1	2	2	0	0	0	0	0
10	2	3	4	0	0	0	0.07692307692	0
10	3	0.5	0.5	0	0	0	0	0
10	4	4	4	0	0	0	0.07692307692	0
10	5	1.25	3.75	0	0	0	0.04166666667	0
10	6	2	5	0	0	0	0.07692307692	0
10	7	0.5	5	0	0	0	0.0625	0
10	8	3.666666667	0.6666666667	0	0	0	0	0
10	9	4	2.5	0	0	0	0.08	0
10	10	4	5	1	1	0	0	0

11	1	1.666666667	1.666666667	0	0	0	0	0
11	3	0	0.5	0	0	0	0	0
11	4	4	4	0	0	0.007521602966	0.07692307692	0
11	5	1.666666667	3.666666667	0	0	0	0.04545454545	0
11	7	0.3333333333	4.666666667	0	0	0	0.04545454545	0
11	8	4	0.5	0	0	0	0	0
11	9	3.5	2	0	0	0.0001426984125	0.04545454545	0
11	10	4	5	1	1	0.0291473956	0.4	0
11	2	3	4	1	1	0.008663190265	0.1538461538	1
11	6	2	5	1	1	0.0005707936498	0.3076923077	1

12	1	1.666666667	1.666666667	0	0	0.0009557105286	0.1538461538	0
12	3	0	0.5	0	0	0	0	0
12	7	0.3333333333	4.666666667	0	0	0.004345697777	0.4090909091	0
12	8	4	0.5	0	0	0.0001213360741	0.06666666667	0
12	9	3.5	2	0	0	0.006496539517	0.2954545455	0
12	10	4	5	1	1	0.05607517464	0.7	0
12	2	3	4	1	1	0.1291746731	0.4615384615	1
12	6	2	5	1	1	0.04072965224	0.6153846154	1
12	4	4	4	1	1	0.02746567949	0.6153846154	1
12	5	1.666666667	3.666666667	1	1	0.03591945466	0.3863636364	1

13	1	1.666666667	1.666666667	0	0	0.006538198359	0.3846153846	0
13	3	0	0.5	0	0	1.675590044e-05	0.1111111111	0
13	8	4	0.5	0	0	0.0006675392368	0.2	0
13	10	4	5	1	1	0.07859538099	1	0
13	2	3	4	1	1	0.1945933081	0.8461538462	1
13	6	2	5	1	1	0.06300356329	0.9230769231	1
