"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	9	1
40	9	1
41	9	1
42	8	2
43	8	2
44	8	2
45	8	2
46	7	3
47	7	3
48	7	3
49	7	3
50	7	3
51	7	3
52	7	3
53	7	3
54	6	4
55	6	4
56	6	4
57	6	4
58	6	4
59	6	4
60	6	4
61	6	4
62	6	4
63	6	4
64	6	4
65	6	4
66	6	4
67	6	4
68	6	4
69	6	4
70	6	4
71	6	4
72	5	5
73	5	5
74	5	5
75	5	5
76	5	5
77	5	5
78	5	5
79	5	5
80	5	5
81	5	5
82	5	5
83	5	5
84	5	5
85	5	5
86	5	5
87	5	5
88	5	5
89	5	5
90	5	5
91	5	5
92	5	5
93	5	5
94	5	5
95	5	5
96	5	5
97	3	7
98	3	7
99	3	7
100	3	7
